word,frequency
bare,2
lb,1
load,1
cook,1
sleep,1
carrier,2
harness,1
watergourd,1
staff,2
tremor,3
faroff,1
drums,2
sinking,1
swelling,1
faint,4
sound,4
weird,1
appealing,1
suggestive,1
wildand,1
bells,1
christian,1
unbuttoned,1
camping,1
escort,1
lank,2
zanzibaris,1
hospitable,1
festivenot,1
drunk,1
upkeep,2
declared,1
middleaged,1
negro,3
bullethole,1
absolutely,2
stumbled,1
considered,1
permanent,1
improvement,1
companion,2
fleshy,1
exasperating,1
habit,2
fainting,1
hillsides,1
annoying,2
mans,1
comingto,1
meant,5
money,1
scornfully,1
hammock,3
slung,1
weighed,1
sixteen,2
stone,1
rows,1
jibbed,1
sneaked,1
nightquite,1
mutiny,1
evening,5
gestures,2
pairs,1
morning,2
cern,2
wrecked,1
bushman,1
blankets,1
horrors,1
skinned,1
kill,1
doctorit,1
individuals,1
becoming,2
scientifically,1
fifteenth,1
hobbled,1
surrounded,1
scrub,1
border,1
smelly,1
inclosed,1
crazy,1
fence,3
rushes,1
neglected,1
gap,2
